,0,1,2
77,-3.2870069743491607e-07,1.031425980053418e-06,-4.750735747967925e-07
78,-3.602837438239249e-07,1.1152136447862607e-06,-5.098350292149174e-07
79,-3.9459507784447627e-07,1.206750003062432e-06,-5.465148290418199e-07
80,-4.31843917913548e-07,1.3060425035776546e-06,-5.850738208082847e-07
81,-4.722574682864132e-07,1.413095930475888e-06,-6.254641121254922e-07
82,-5.160801329379979e-07,1.5279115377127497e-06,-6.676271346983055e-07
83,-5.635716112730789e-07,1.6504860821198628e-06,-7.114915072206345e-07
84,-6.150068944649565e-07,1.7808112430364222e-06,-7.56971719172548e-07
85,-6.706769465858989e-07,1.9188731280423354e-06,-8.039670004333064e-07
86,-7.308893504404187e-07,2.0646517398049874e-06,-8.52360117990072e-07
87,-7.959689117380184e-07,2.2211595063955164e-06,-8.751990047887212e-07
88,-8.663650790754417e-07,2.3914850554587784e-06,-8.456964557177833e-07
89,-9.426551066595244e-07,2.57576593982455e-06,-7.640724938304442e-07
90,-1.025439108622203e-06,2.774156045348129e-06,-6.305848749934669e-07
91,-1.1153380197850717e-06,2.986826002470288e-06,-4.4553096331104044e-07
92,-1.212991486239467e-06,3.2139634997662378e-06,-2.092493392193076e-07
93,-1.3190557052899256e-06,3.4557734996720932e-06,7.78788606034232e-08
94,-1.434201232953636e-06,3.712478357707711e-06,4.154288694600745e-07
95,-1.559110775831651e-06,3.984317847508664e-06,8.0293147843104e-07
96,-1.694476982782302e-06,4.2715490948420084e-06,1.2398724790335594e-06
97,-1.8404960983585603e-06,4.574447031454698e-06,1.7256326525468804e-06
98,-1.9968587062171426e-06,4.893270321030668e-06,2.2595637009647624e-06
99,-2.163253473501515e-06,5.228241743344414e-06,2.8410899855834077e-06
100,-2.3393755386295475e-06,5.579564385867775e-06,3.4696719166479796e-06
101,-2.5249273016790595e-06,5.947423693123122e-06,4.14480168172449e-06
102,-2.7196188278573176e-06,6.331988998121832e-06,4.866000193852915e-06
103,-2.923168079238673e-06,6.733414879037175e-06,5.632814475282937e-06
104,-3.135301035009682e-06,7.151842408949085e-06,6.444815321241961e-06
105,-3.355751729945704e-06,7.5874003216729e-06,7.301595190579766e-06
106,-3.5842622299320935e-06,8.040206105089534e-06,8.202766296669118e-06
107,-3.820582557897545e-06,8.510367029529524e-06,9.147958880807215e-06
108,-4.064470580230582e-06,8.997981117170263e-06,1.013681965401282e-05
109,-4.3156918302463666e-06,9.503138055819945e-06,1.1169010392749464e-05
110,-4.574017234318017e-06,1.0025919894040483e-05,1.2244206657654273e-05
111,-4.839220985419472e-06,1.056640164406119e-05,1.3362097239844164e-05
112,-5.11108060898962e-06,1.1124652107041179e-05,1.4522384641355497e-05
113,-5.389377016133499e-06,1.1700734503267735e-05,1.5724785150648406e-05
114,-5.6738945453131074e-06,1.2294706775563288e-05,1.6969028174585013e-05
115,-5.964420993556038e-06,1.2906621876553248e-05,1.8254855605049296e-05
116,-6.260747638110583e-06,1.3536528040877557e-05,1.9582021217831437e-05
117,-6.562669249393224e-06,1.418446904331566e-05,2.0950290101669332e-05
118,-6.869984096004321e-06,1.4850484443697771e-05,2.2359438115569686e-05
119,-7.1824939425281705e-06,1.553460981939084e-05,2.3809251372725947e-05
120,-7.50000404078157e-06,1.623687698607589e-05,2.529952574951711e-05
121,-7.822323115127935e-06,1.695731420747143e-05,2.683006641821138e-05
122,-8.149263342431076e-06,1.7695946394604383e-05,2.8400687402118272e-05
123,-8.480640327183814e-06,1.8452795295184077e-05,3.0011211152035626e-05
124,-8.81627307230988e-06,1.922787949605879e-05,3.1661467695009254e-05
125,-9.155983946096785e-06,2.0021213473694427e-05,3.335129142315769e-05
126,-9.499598645648114e-06,2.083280667018569e-05,3.508051798757334e-05
127,-9.846946157192137e-06,2.166266349791901e-05,3.684898357345292e-05
128,-1.0197858713576665e-05,2.2510783473509535e-05,3.8656524537311065e-05
129,-1.0552171749273613e-05,2.337716134388377e-05,4.05029770585824e-05
130,-1.0909723853207968e-05,2.426178720488058e-05,4.238817680500631e-05
131,-1.12703567197113e-05,2.5164646612723728e-05,4.431195861122615e-05
132,-1.1633915097882033e-05,2.608572068870318e-05,4.6274156170065816e-05
133,-1.200024673961845e-05,2.7024986217388083e-05,4.827460173597443e-05
134,-1.2369202346572162e-05,2.7982415738680834e-05,5.031312584015224e-05
135,-1.2740635516251992e-05,2.8957977634010192e-05,5.23895570168938e-05
136,-1.311440268749031e-05,2.9951636206950042e-05,5.4503721540703586e-05
137,-1.3490363085466654e-05,3.096335175853974e-05,5.6655443173758276e-05
138,-1.3868378666467004e-05,3.1993080657572225e-05,5.884454292330876e-05
139,-1.4248314062541098e-05,3.304077540610589e-05,6.107083880863118e-05
140,-1.4630036526205433e-05,3.4106384700447274e-05,6.333414563715452e-05
141,-1.5013415875325442e-05,3.518985348784242e-05,6.563427478940846e-05
142,-1.5398324438297118e-05,3.629112301910589e-05,6.797103401245104e-05
143,-1.5784636999636168e-05,3.741013089740846e-05,7.034422722145261e-05
144,-1.617223074607112e-05,3.854681112343542e-05,7.275365430912657e-05
145,-1.6560985213225567e-05,3.9701094137120555e-05,7.51991109627148e-05
146,-1.6950782232966584e-05,4.087290685615238e-05,7.768038848824787e-05
147,-1.7341505881486775e-05,4.206217271144202e-05,8.019727364181477e-05
148,-1.77330424281776e-05,4.326881167973546e-05,8.274954846759343e-05
149,-1.8125280285344593e-05,4.449274031354513e-05,8.53369901424047e-05
150,-1.851810995880827e-05,4.5733871768569995e-05,8.79593708265669e-05
151,-1.891142399942766e-05,4.6992115828766446e-05,9.061645752084098e-05
152,-1.9305116955577952e-05,4.8267378929226244e-05,9.330801192926772e-05
153,-1.969908532660835e-05,4.9559564177011726e-05,9.603379032771047e-05
154,-2.00932275173006e-05,5.0868571370093384e-05,9.879354343793062e-05
155,-2.0487443793344507e-05,5.219429701452846e-05,0.00010158701630703172
156,-2.0881636237842798e-05,5.353663434001505e-05,0.00010441394819212096
157,-2.1275708708853798e-05,5.4895473313950474e-05,0.00010727407245004621
158,-2.166956679797721e-05,5.627070065411813e-05,0.00011016711643207682
159,-2.206311778998526e-05,5.7662199840122685e-05,0.00011309280138340711
160,-2.2456270623498637e-05,5.906985112368847e-05,0.00011605084234736883
161,-2.2848935852704375e-05,6.0493531537932306e-05,0.00011904094807424987
162,-2.3241025610110647e-05,6.193311490571779e-05,0.00012206282093462361
163,-2.363245357033142e-05,6.338847184719391e-05,0.00012511615683710172
164,-2.4023134914892467e-05,6.48594697866181e-05,0.00012820064515043224
165,-2.4412986298047103e-05,6.634597295855883e-05,0.00013131596862987259
166,-2.480192581359206e-05,6.784784241357122e-05,0.00013446180334777082
167,-2.5189872962671882e-05,6.936493602343462e-05,0.00013763781862829232
168,-2.557674862255631e-05,7.089710848603787e-05,0.00014084367698624414
169,-2.5962475016376676e-05,7.244421132999715e-05,0.00014407903406995386
170,-2.634697568380566e-05,7.400609291908521e-05,0.0001473435386081598
171,-2.6730175452665054e-05,7.558259845655141e-05,0.00015063683236088112
172,-2.7112000411445082e-05,7.717356998940729e-05,0.00015395855007423716
173,-2.7492377882718484e-05,7.877884641274989e-05,0.0001573083194391907
174,-2.7871236397432657e-05,8.0398263474195e-05,0.00016068576105419797
175,-2.8248505670062217e-05,8.203165377848658e-05,0.00016409048839174638
176,-2.8624116574604857e-05,8.367884679235e-05,0.00016752210776877128
177,-2.899800112140279e-05,8.533966884965264e-05,0.00017098021832094278
