,0
88,1.328563501215283e-05
89,1.4842303155909494e-05
90,1.619611523172942e-05
91,1.739040284900768e-05
92,1.8458434955515346e-05
93,1.94258853840489e-05
94,2.0312682044147327e-05
95,2.1134387405577685e-05
96,2.1866015805908124e-05
97,2.25243845625298e-05
98,2.3122796772387085e-05
99,2.3671519133537855e-05
100,2.4178520647881577e-05
101,2.4650031143737762e-05
102,2.5090965189164526e-05
103,2.5505240494953186e-05
104,2.5896017115622075e-05
105,2.626588344246896e-05
106,2.661698506622737e-05
107,2.695113331584914e-05
108,2.7269879102417597e-05
109,2.7574406498650083e-05
110,2.786581954497949e-05
111,2.81452037520349e-05
112,2.8413523631995684e-05
113,2.8671640566064222e-05
114,2.8920334677289382e-05
115,2.9160307221856447e-05
116,2.9392197369117017e-05
117,2.9616588025847184e-05
118,2.9834014652017686e-05
119,3.0044967438750206e-05
120,3.0249898340069733e-05
121,3.0449224409807515e-05
122,3.064333142907669e-05
123,3.083251483803518e-05
124,3.1016725489737204e-05
125,3.119589588196693e-05
126,3.13699864257688e-05
127,3.153897403502214e-05
128,3.1702862160757055e-05
129,3.186165148008145e-05
130,3.2015354173244454e-05
131,3.216398702132179e-05
132,3.2307569522921323e-05
133,3.2446122301543595e-05
134,3.2579666194997e-05
135,3.270822148779596e-05
136,3.283180734244384e-05
137,3.295044138451253e-05
138,3.306413940243171e-05
139,3.3172915137314845e-05
140,3.327678014122766e-05
141,3.337574369487988e-05
142,3.346981254664952e-05
143,3.355898602700024e-05
144,3.3643278440510425e-05
145,3.372268302264754e-05
146,3.379719750066351e-05
147,3.386681748055538e-05
148,3.393153639551094e-05
149,3.399134358938214e-05
150,3.404623283057439e-05
151,3.409618913101198e-05
152,3.414119817389765e-05
153,3.418124391912332e-05
154,3.421630869735277e-05
155,3.424637330488566e-05
156,3.427141695038284e-05
157,3.429141766641616e-05
158,3.430635238474908e-05
159,3.431619671662972e-05
160,3.43209252153801e-05
161,3.432051147062924e-05
162,3.431492820181671e-05
163,3.430413216891345e-05
164,3.428812764766147e-05
165,3.4266866922450216e-05
166,3.4240320275775137e-05
167,3.420845754242313e-05
168,3.4171248204113284e-05
169,3.412866148293251e-05
170,3.40806664302359e-05
171,3.402723201428039e-05
172,3.396832712609759e-05
173,3.39039207417622e-05
174,3.3833982277991496e-05
175,3.3758481205187626e-05
176,3.36773873209252e-05
177,3.359067082775107e-05
178,3.3498302348643074e-05
179,3.340025317824679e-05
180,3.329649520476077e-05
181,3.31870010031745e-05
182,3.307174392308399e-05
183,3.295069816003922e-05
184,3.282381879036321e-05
185,3.26911253136153e-05
186,3.255257085883769e-05
187,3.240813383813493e-05
188,3.2257793810929925e-05
189,3.2101531556295186e-05
190,3.193932214480429e-05
191,3.177116385590416e-05
192,3.1597033412015975e-05
193,3.141691730312603e-05
194,3.123080344329851e-05
195,3.1054583677936066e-05
196,3.087707077125619e-05
197,3.0693782933945526e-05
198,3.0504821261367822e-05
199,3.0310276889497255e-05
200,3.0110378792326368e-05
201,2.9905333117328578e-05
202,2.9695325062819628e-05
203,2.9480522643058188e-05
204,2.9261079632114694e-05
205,2.903713788380374e-05
206,2.8808784278560294e-05
207,2.8576239008091783e-05
208,2.8339564403867346e-05
209,2.8098870111015927e-05
210,2.7854259823835896e-05
211,2.7605832896883218e-05
212,2.735368392301144e-05
213,2.763370776093473e-05
214,2.78702292171853e-05
215,2.8065298453853658e-05
216,2.8221230214174228e-05
217,2.8340462369516734e-05
218,2.842545759191111e-05
219,2.847863654023799e-05
220,2.850233396693325e-05
221,2.849877103700284e-05
222,2.84700395931014e-05
223,2.8418094662829317e-05
224,2.834475273806826e-05
225,2.8251693986347783e-05
226,2.8140467055652757e-05
227,2.8012495510424944e-05
228,2.7869030175453845e-05
229,2.7711385452823068e-05
230,2.7540590528287833e-05
231,2.7357645727684775e-05
232,2.716346478704892e-05
233,2.6958882080354652e-05
234,2.674464073459031e-05
235,2.6521476592541388e-05
236,2.6290002949824495e-05
237,2.605079967230866e-05
238,2.5804398072865004e-05
239,2.5551283481754106e-05
240,2.5291900130207776e-05
241,2.502665498630356e-05
242,2.4755921250920912e-05
243,2.448004153539914e-05
244,2.4199330757569384e-05
245,2.3914078767180914e-05
246,2.3624552729155756e-05
247,2.3330999287831646e-05
248,2.3033646527559433e-05
249,2.273259373444202e-05
250,2.242827834389145e-05
251,2.2120750381195228e-05
252,2.181018054596483e-05
253,2.1496728175230368e-05
254,2.1180542369555684e-05
255,2.086176300017833e-05
256,2.0540521617006712e-05
257,2.0216942265631797e-05
258,2.2348603619388292e-05
259,2.4045666908504798e-05
260,2.540303847664921e-05
261,2.649282327211009e-05
262,2.7370018596351334e-05
263,2.8076764564432958e-05
264,2.864551903240143e-05
265,2.9101430632370025e-05
266,2.9464114780331752e-05
267,2.974898406767376e-05
268,2.996824632546694e-05
269,3.0131654643074717e-05
270,3.0247072137178785e-05
271,3.032089824102559e-05
272,3.035839138805303e-05
273,3.03639140836462e-05
274,3.034111975670595e-05
275,3.029309576087688e-05
276,3.02224738253393e-05
277,3.013151512258418e-05
278,3.0022176773770306e-05
279,2.9896164079175648e-05
280,2.9754970861646787e-05
281,2.959990758443407e-05
282,2.9432128805894643e-05
283,2.925265699188904e-05
284,2.906240177855935e-05
285,2.8862175701880402e-05
286,2.8652707164780265e-05
287,2.84346512281054e-05
288,2.8208598673307734e-05
289,2.797508368054213e-05
290,2.77345903873721e-05
291,2.748755853391667e-05
292,2.723438835527728e-05
293,2.6975444848082383e-05
294,2.671106151055713e-05
295,2.644154368587972e-05
296,2.6167170422165355e-05
297,2.588820006378603e-05
298,2.560486952521579e-05
299,2.5317397386521623e-05
300,2.5025985735157692e-05
301,2.473082181682192e-05
302,2.4432079517349786e-05
303,2.4129920694632918e-05
304,2.382449637686244e-05
305,2.351594784144427e-05
306,2.320440758707079e-05
307,2.2890000209973148e-05
308,2.257284319410371e-05
309,2.2253047623911605e-05
310,2.193062088874275e-05
311,2.1605872842075083e-05
312,2.1278785067449046e-05
313,2.0949449311557878e-05
314,2.061795346935282e-05
315,2.0284381992476138e-05
316,1.9948816254041147e-05
317,1.9611334874823816e-05
318,1.9272014015313413e-05
319,1.8930927637498364e-05
320,1.8588147739104363e-05
321,1.8243743887017978e-05
322,1.7897756896616768e-05
323,1.7550315287243704e-05
324,1.7201451901336955e-05
325,1.6851231784177282e-05
326,1.6499718969338104e-05
327,1.614697659442708e-05
328,1.5793066899397242e-05
329,1.5438051507225545e-05
330,1.5081991599705833e-05
331,1.4724947646072177e-05
332,1.4366979629263872e-05
333,1.4008147102114117e-05
334,1.3648509236944488e-05
335,1.3288124869263535e-05
336,1.2927052536151045e-05
337,1.2565350509860983e-05
338,1.2203076827076154e-05
339,1.1840289314319575e-05
340,1.1477045609765222e-05
341,1.111340318188818e-05
342,1.0749419345197006e-05
343,1.038513951397827e-05
344,1.00206097641287e-05
345,9.655877522842956e-06
346,9.290872233276683e-06
347,8.925903558360665e-06
