;0;1;2;3
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0
3;6.285481365525314e-05;6.332677748716265e-05;0.0;3.4342584113034037e-06
4;0.00030476137696377505;0.0003070952280320668;1.7053025658242404e-15;1.6605865294927115e-05
5;0.0008874559295453492;0.000894377501720777;1.6797230273368768e-15;4.823120992176353e-05
6;0.0020117552458496597;0.002027715163523583;1.6545271819268237e-15;0.00010906968867589422
7;0.0039121621467960105;0.003943695421884534;1.6297092741979213e-15;0.00021161993907037782
8;0.006852321252194584;0.006908378021114075;1.6052636350849525e-15;0.0003698683941767373
9;0.011121160344259362;0.011213408663869114;1.5811846805586783e-15;0.0005990793359790959
10;0.01702959066566592;0.017172692687422747;1.5574669103502982e-15;0.0009156182114988915
11;0.02490766884563541;0.025119532027150483;1.5341049066950437e-15;0.0013368019660188518
12;0.035102146278081905;0.035404151599918374;1.511093333094618e-15;0.0018807717057084056
13;0.0479743503847776;0.04839155983917749;3.193729498922439e-15;0.0025663842465052573
14;0.06389835754222727;0.0644597034630729;4.851126122262843e-15;0.0034131201243013075
15;0.08325943043508688;0.08399788955030128;4.7783592304289005e-15;0.004441006495568511
16;0.10645270386475347;0.10740545927149364;4.706683841972467e-15;0.005670554091978731
17;0.13388211297058444;0.13509070755015617;4.63608358434288e-15;0.007122708033464357
18;0.1659595667421243;0.16747005183042557;4.566542330577737e-15;0.008818812874651253
19;0.20310437769630008;0.20496746108542305;4.498044195619071e-15;0.010780592765243704
20;0.2457429657713029;0.248014163313982;4.4305735326847854e-15;0.013030148053689832
21;0.294308860856464;0.29704865604988745;4.364114929694513e-15;0.015589970056140837
22;0.34924303392622547;0.3525170498366372;4.298653205749096e-15;0.01848297604925799
23;0.4109945914866663;0.414873779212933;4.234173407662859e-15;0.02173256682707215
24;0.4800218719256934;0.48458271946085507;4.170660806547917e-15;0.025362709385749083
25;0.556793985509319;0.5621187503200729;4.108100894449698e-15;0.029398047475299022
26;0.6417928421425996;0.6479698100248417;4.046479381032953e-15;0.033864042880687104
27;0.7355157128641081;0.7426394846304678;3.985782190317458e-15;0.03878715038448058
28;0.8384783723821494;0.8466501786779952;3.925995457462696e-15;0.04419502941918304
29;0.9512188711464273;0.9605469141617268;3.867105525600756e-15;0.05011679546473899
30;1.0743019866616894;1.084901805694931;3.809098942716744e-15;0.05658331429665859
31;1.208324405344585;1.2203192610695002;3.751962458575993e-15;0.0636275422666055
32;1.3539206883879438;1.3674419582566282;3.695683021697353e-15;0.07128491591052816
33;1.5117700786978854;1.5269576531699252;3.6402477763718926e-15;0.07959379439048485
34;1.6738348346396146;1.6893053218256524;3.585644059726314e-15;0.08859595854703498
35;1.8375516904565043;1.8533471317330594;3.5318593988304193e-15;0.09833665489021921
